formulary_id,contract_year,tier_level_value,rows_count,distinct_rxcui,pct_of_formulary
00025169,2025,4,807,807,23.14974182444062
00025169,2025,5,785,785,22.518646012621915
00025170,2025,1,200,200,6.550933508024894
00025170,2025,2,522,522,17.09793645594497
00025170,2025,3,712,712,23.32132328856862
00025170,2025,4,918,918,30.068784801834262
00025170,2025,5,701,701,22.96102194562725
00025171,2025,1,320,320,9.090909090909092
00025171,2025,2,638,638,18.125
00025171,2025,3,912,912,25.90909090909091
00025171,2025,4,844,844,23.977272727272727
00025171,2025,5,806,806,22.897727272727273
00025172,2025,1,3253,3253,100.0
00025174,2025,1,390,390,11.085844229675953
00025174,2025,2,832,832,23.649801023308697
00025174,2025,3,759,759,21.574758385446277
00025174,2025,4,732,732,20.807276861853325
00025174,2025,5,805,805,22.88231949971575
00025176,2025,1,231,231,7.064220183486238
00025176,2025,2,463,463,14.15902140672783
00025176,2025,3,742,742,22.69113149847095
00025176,2025,4,900,900,27.522935779816514
00025176,2025,5,736,736,22.507645259938837
00025176,2025,6,198,198,6.055045871559633
00025177,2025,1,390,390,11.085844229675953
00025177,2025,2,832,832,23.649801023308697
00025177,2025,3,735,735,20.892552586696986
00025177,2025,4,732,732,20.807276861853325
00025177,2025,5,805,805,22.88231949971575
00025177,2025,6,24,24,0.6822057987492893
00025179,2025,1,200,200,6.550933508024894
00025179,2025,2,522,522,17.09793645594497
00025179,2025,3,712,712,23.32132328856862
00025179,2025,4,918,918,30.068784801834262
00025179,2025,5,701,701,22.96102194562725
00025180,2025,1,245,245,7.401812688821752
00025180,2025,2,561,561,16.948640483383684
00025180,2025,3,786,786,23.746223564954683
00025180,2025,4,973,973,29.395770392749245
00025180,2025,5,745,745,22.507552870090635
00025181,2025,1,320,320,9.090909090909092
00025181,2025,2,638,638,18.125
00025181,2025,3,912,912,25.90909090909091
00025181,2025,4,844,844,23.977272727272727
00025181,2025,5,806,806,22.897727272727273
00025182,2025,1,397,397,11.04004449388209
00025182,2025,2,729,729,20.272525027808676
00025182,2025,3,848,848,23.5817575083426
00025182,2025,4,813,813,22.60845383759733
00025182,2025,5,809,809,22.4972191323693
00025183,2025,1,590,590,16.983304548071388
00025183,2025,2,1669,1669,48.04260218767991
00025183,2025,3,271,271,7.800805987334485
00025183,2025,4,161,161,4.634427173287277
00025183,2025,5,783,783,22.53886010362694
00025184,2025,1,285,285,7.093081134892982
00025184,2025,2,972,972,24.19113987058238
00025184,2025,3,930,930,23.145843703334993
00025184,2025,4,721,721,17.94425087108014
00025184,2025,5,1110,1110,27.625684420109508
00025185,2025,1,472,472,13.58664363845711
00025185,2025,2,410,410,11.80195739781232
00025185,2025,3,1026,1026,29.533678756476682
00025185,2025,4,783,783,22.53886010362694
00025185,2025,5,783,783,22.53886010362694
00025186,2025,1,284,284,7.068193130910901
00025186,2025,2,684,684,17.023394723743156
00025186,2025,3,1007,1007,25.0622200099552
00025186,2025,4,933,933,23.220507715281233
00025186,2025,5,1110,1110,27.625684420109508
00025187,2025,1,590,590,16.983304548071388
00025187,2025,2,1669,1669,48.04260218767991
00025187,2025,3,271,271,7.800805987334485
00025187,2025,4,161,161,4.634427173287277
00025187,2025,5,783,783,22.53886010362694
00025188,2025,1,472,472,14.191220685508117
00025188,2025,2,410,410,12.32711966325917
00025188,2025,3,960,960,28.863499699338544
00025188,2025,4,694,694,20.865904990980155
00025188,2025,5,790,790,23.752254960914012
00025189,2025,1,1886,1886,58.22784810126582
00025189,2025,2,318,318,9.817845013893177
00025189,2025,3,90,90,2.778635381290522
00025189,2025,4,796,796,24.575486261191728
00025189,2025,5,149,149,4.600185242358752
00025190,2025,1,590,590,16.983304548071388
00025190,2025,2,1656,1656,47.66839378238342
00025190,2025,3,284,284,8.175014392630972
00025190,2025,4,161,161,4.634427173287277
00025190,2025,5,783,783,22.53886010362694
00025191,2025,1,3384,3384,100.0
00025192,2025,1,460,460,13.59338061465721
00025192,2025,2,374,374,11.052009456264775
00025192,2025,3,1026,1026,30.319148936170212
00025192,2025,4,739,739,21.83806146572104
00025192,2025,5,785,785,23.19739952718676
00025194,2025,1,272,272,8.418446301454658
00025194,2025,2,1560,1560,48.28226555246054
00025194,2025,3,269,269,8.32559579077685
00025194,2025,4,320,320,9.904054472299597
00025194,2025,5,790,790,24.450634478489633
00025194,2025,6,20,20,0.6190034045187248
00025195,2025,1,3239,3239,100.0
00025196,2025,1,3376,3376,100.0
00025197,2025,1,735,735,22.692188947205928
00025197,2025,2,1112,1112,34.33158382216734
00025197,2025,3,253,253,7.8110527940722445
00025197,2025,4,90,90,2.778635381290522
00025197,2025,5,796,796,24.575486261191728
00025197,2025,6,253,253,7.8110527940722445
00025198,2025,1,261,261,8.058042605742513
00025198,2025,2,1586,1586,48.96573016363075
00025198,2025,3,318,318,9.817845013893177
00025198,2025,4,90,90,2.778635381290522
00025198,2025,5,796,796,24.575486261191728
00025198,2025,6,188,188,5.8042605742513125
00025199,2025,1,396,396,11.98547215496368
00025199,2025,2,427,427,12.923728813559322
00025199,2025,3,990,990,29.9636803874092
00025199,2025,4,710,710,21.48910411622276
00025199,2025,5,781,781,23.638014527845037
00025200,2025,1,3239,3239,100.0
00025202,2025,1,261,261,8.058042605742513
00025202,2025,2,1586,1586,48.96573016363075
00025202,2025,3,318,318,9.817845013893177
00025202,2025,4,90,90,2.778635381290522
00025202,2025,5,796,796,24.575486261191728
00025202,2025,6,188,188,5.8042605742513125
00025203,2025,1,3376,3376,100.0
00025204,2025,1,353,353,9.48160085952189
00025204,2025,2,2037,2037,54.713940370668816
00025204,2025,3,253,253,6.795594950308891
00025204,2025,4,126,126,3.3843674456083805
00025204,2025,5,889,889,23.87859253290357
00025204,2025,6,65,65,1.7459038409884502
00025205,2025,1,514,514,15.556900726392252
00025205,2025,2,1585,1585,47.97215496368039
00025205,2025,3,266,266,8.05084745762712
00025205,2025,4,158,158,4.782082324455206
00025205,2025,5,781,781,23.638014527845037
00025207,2025,1,3376,3376,100.0
00025208,2025,1,3239,3239,100.0
00025209,2025,1,884,884,27.29237418956468
00025209,2025,2,716,716,22.10558814448904
00025209,2025,3,356,356,10.991046619326953
00025209,2025,4,487,487,15.035504785427602
00025209,2025,5,796,796,24.575486261191728
00025210,2025,1,396,396,11.967361740707162
00025210,2025,2,427,427,12.90420066485343
00025210,2025,3,992,992,29.97884557268057
00025210,2025,4,710,710,21.456633423995164
00025210,2025,5,784,784,23.692958597763674
00025211,2025,1,261,261,8.058042605742513
